,Initial,Final,Offset
701,5/18/15,5/25/15,3
2130,5/20/15,5/27/15,3
6332,5/18/15,5/26/15,0
7373,5/21/15,5/28/15,3
7685,6/1/15,6/9/15,0
9412,5/19/15,5/26/15,3
10311,5/16/15,5/23/15,3
10467,5/18/15,5/25/15,3
10601,5/19/15,5/26/15,3
10900,5/19/15,5/26/15,3
10921,5/17/15,5/24/15,0
10950,5/16/15,5/24/15,0
13466,5/24/15,5/31/15,3
13616,5/20/15,5/27/15,3
13716,5/19/15,5/26/15,2
14522,6/1/15,6/8/15,3
16242,5/19/15,5/26/15,2
17418,5/22/15,5/29/15,3
17634,5/19/15,5/27/15,3
18484,5/22/15,5/30/15,2
18786,5/25/15,6/2/15,3
21019,5/18/15,5/25/15,3
21282,5/20/15,5/27/15,0
22253,5/16/15,5/23/15,0
23650,5/20/15,5/27/15,2
24584,5/23/15,5/30/15,3
24695,5/22/15,5/29/15,3
